MONTH,SUM(total_laid_off)
2020-03,9628
2020-04,26710
2020-05,25804
2020-06,7627
2020-07,7112
2020-08,1969
2020-09,609
2020-10,450
2020-11,237
2020-12,852
2021-01,6813
2021-02,868
2021-03,47
2021-04,261
2021-06,2434
2021-07,80
2021-08,1867
2021-09,161
2021-10,22
2021-11,2070
2021-12,1200
2022-01,510
2022-02,3685
2022-03,5714
2022-04,4128
2022-05,12985
2022-06,17394
2022-07,16238
2022-08,13055
2022-09,5881
2022-10,20471
2022-11,53594
2022-12,10664
2023-01,89709
2023-02,39902
2023-03,37963
2023-04,20100
2023-05,15127
2023-06,11206
2023-07,10690
2023-08,10178
2023-09,4707
2023-10,8076
2023-11,8373
2023-12,8189
2024-01,34137
2024-02,15639
2024-03,7403
2024-04,22423
2024-05,11011
2024-06,10083
2024-07,9051
2024-08,25944
2024-09,3941
2024-10,3659
2024-11,5715
